resource,logical_input,sample,min_eig,projection_frobenius
canonical,one,101,0.017456067251206138,2.0683159204212177e-16
canonical,plus,101,0.013713763112699517,4.83275794036492e-16
canonical,plus_i,101,0.007620075056587661,2.0362967860246166e-16
canonical,zero,102,0.007537347020981805,4.456690806750456e-16
canonical,one,102,0.019502217462232446,3.8914551936137207e-16
canonical,plus,102,0.005369826363072229,8.70722541969552e-16
canonical,plus_i,102,0.01530772928829979,3.4562433502114773e-16
canonical,zero,103,0.007257899281879176,1.526237062974613e-16
canonical,one,103,0.02116418393371803,9.74957110008612e-16
canonical,plus,103,0.01488637664439916,8.96885590097937e-16
canonical,plus_i,103,0.0026397675298807173,3.4892745631925183e-16
canonical,zero,104,0.010880624756298375,5.634224360145789e-16
canonical,one,104,0.01842678263327673,5.24323062708583e-16
canonical,plus,104,0.01593620694655127,7.242195236480059e-16
canonical,plus_i,104,0.007885947067408323,2.9495209480870005e-16
canonical,zero,105,0.010303594739533135,1.677056453024324e-16
canonical,one,105,0.01968729411760883,9.630998106408578e-16
canonical,plus,105,0.010809364516192724,7.203868724518955e-16
canonical,plus_i,105,-0.0020277566406773423,0.0023414516846921845
canonical,zero,106,0.010374365195188962,6.170491659482604e-17
canonical,one,106,0.015169323976816891,8.196336844600197e-16
canonical,plus,106,0.015338141138738125,3.164242136497007e-16
canonical,plus_i,106,0.012314804127893368,4.708864657567644e-16
canonical,zero,107,0.0063187910248047735,5.624131956912335e-16
canonical,one,107,0.02121325831416079,4.572016670898915e-16
canonical,plus,107,0.016765758027211596,6.021727189464432e-16
canonical,plus_i,107,0.01551785052428894,4.486168143094063e-16
canonical,zero,108,0.015914563431782512,4.146587870568736e-17
canonical,one,108,0.017099290900989432,4.291922725478823e-16
canonical,plus,108,0.011142435087331279,8.752311737954772e-16
canonical,plus_i,108,0.010640622275880312,4.889259975704301e-16
canonical,zero,109,0.010843268233951797,6.751030319913586e-16
canonical,one,109,0.018027731423877907,4.345239924028477e-16
canonical,plus,109,0.004371090744373363,6.623645833915129e-16
canonical,plus_i,109,0.004981350284611194,6.846589667918472e-16
canonical,zero,110,0.007402533849107305,5.657556844836077e-16
canonical,one,110,0.01985983605743111,3.6858766422735755e-16
canonical,plus,110,0.014532400506384113,6.165908180510081e-16
canonical,plus_i,110,0.0018784955625987107,3.227075267861483e-16
canonical,zero,111,0.010344248510287205,2.25480897873485e-16
canonical,one,111,0.0164595217561035,7.103477948363712e-16
canonical,plus,111,0.012168267499846296,4.039159361361596e-16
canonical,plus_i,111,0.01588066286328459,6.270480476031677e-16
canonical,zero,112,0.008168569757925959,4.471603083808486e-16
canonical,one,112,0.019907846318404646,3.793688258665204e-16
canonical,plus,112,0.0017393571995171617,2.0386230125305694e-16
